"model_name","variable_name","decomp_group","Date","value"
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-01-24,1073729.52196985
"multiples_pna_glass_330ml_12pack","m_ooh_peroni_total_sp_adstock30","ooh_peroni",2021-01-24,0
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-01-24,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-01-24,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-01-24,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-01-24,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-01-24,0
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-01-24,6647.73316493971
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-01-24,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-01-24,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-01-24,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-01-24,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-01-24,-12646.0303303626
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-01-31,33183.4033453058
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-01-31,-5448.25170519163
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-01-31,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-01-31,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-01-31,66087.0359556393
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-01-31,-162013.220096934
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-01-31,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-01-31,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-01-31,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-01-31,108900.562460796
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-01-31,1073729.52196985
"multiples_pna_glass_330ml_12pack","m_ooh_peroni_total_sp_adstock30","ooh_peroni",2021-01-31,0
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-01-31,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-01-31,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-01-31,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-01-31,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-01-31,13737.2196778012
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-01-31,9084.01106516623
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-01-31,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-01-31,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-01-31,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-01-31,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-01-31,-2786.65456509904
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-02-07,39061.4874144394
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-02-07,-5127.59019223816
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-02-07,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-02-07,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-02-07,67486.1153221297
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-02-07,-161074.013009902
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-02-07,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-02-07,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-02-07,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-02-07,90307.7835040746
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-02-07,1073729.52196985
"multiples_pna_glass_330ml_12pack","m_ooh_peroni_total_sp_adstock30","ooh_peroni",2021-02-07,0
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-02-07,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-02-07,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-02-07,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-02-07,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-02-07,12532.0857965526
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-02-07,6861.97870892948
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-02-07,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-02-07,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-02-07,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-02-07,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-02-07,1489.21863392405
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-02-14,27299.3788172848
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-02-14,-10657.7386665591
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-02-14,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-02-14,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-02-14,67486.1153221297
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-02-14,-161074.013009902
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-02-14,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-02-14,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-02-14,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-02-14,98276.1173426694
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-02-14,1073729.52196985
"multiples_pna_glass_330ml_12pack","m_ooh_peroni_total_sp_adstock30","ooh_peroni",2021-02-14,0
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-02-14,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-02-14,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-02-14,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-02-14,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-02-14,47703.3847816338
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-02-14,25207.5185757106
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-02-14,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-02-14,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-02-14,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-02-14,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-02-14,130.397003577386
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-02-21,38936.7377778029
